Model,Index,Core,Name,Type,Kernel,Stride,OutHW,OutC,InC,CurWeight,MaxWeight,Margin,WeightOK,MinT_Q,Tiles_Q,TileShare,InTile_HW,InTile_B,OutTile_B,T_AdaptFull,Tiles_AdaptFull
YOLOv10s,48,6,model.17.conv,Conv,3x3,2,40x40,128,128,147456,216448,68992,True,8,25,28,17x17,36992,8192,12,16
YOLOv10s,49,6,model.19.cv1.conv,1x1,1x1,1,40x40,256,384,98304,220672,122368,True,8,25,28,8x8,24576,16384,15,9
YOLOv10s,50,6,model.19.m.0.cv1.conv,Conv,3x3,1,40x40,128,128,147456,240640,93184,True,8,25,28,10x10,12800,8192,20,4
YOLOv10s,51,6,model.19.m.0.cv2.conv,Conv,3x3,1,40x40,128,128,147456,240640,93184,True,8,25,28,10x10,12800,8192,20,4
YOLOv10s,52,7,model.19.cv2.conv,1x1,1x1,1,40x40,256,384,98304,251392,153088,True,4,100,129,4x4,6144,4096,15,9
YOLOv10s,53,7,model.20.cv1.conv,1x1,1x1,1,40x40,256,256,65536,253440,187904,True,4,100,129,4x4,4096,4096,19,9
YOLOv10s,54,7,model.20.cv2.conv,DW,3x3,2,20x20,256,256,2304,236800,234496,True,4,25,32,9x9,20736,4096,13,4
YOLOv10s,55,7,model.22.cv1.conv,1x1,1x1,1,20x20,512,768,393216,241152,-152064,False,4,25,32,4x4,12288,8192,1,400
YOLOv10s,56,7,model.22.m.0.cv1.0.conv,DW,3x3,1,20x20,256,256,2304,248320,246016,True,4,25,32,6x6,9216,4096,20,1
YOLOv10s,57,7,model.22.m.0.cv1.1.conv,1x1,1x1,1,20x20,512,256,131072,249344,118272,True,4,25,32,4x4,4096,8192,13,4
YOLOv10s,58,7,model.22.m.0.cv1.2.conv.conv,DW,7x7,1,20x20,512,512,25088,202240,177152,True,4,25,32,10x10,51200,8192,11,4
YOLOv10s,59,8,model.22.m.0.cv1.2.conv1.conv,DW,3x3,1,20x20,512,512,4608,136704,132096,True,10,4,8,12x12,73728,51200,14,4
YOLOv10s,60,8,model.22.m.0.cv1.3.conv,1x1,1x1,1,20x20,256,512,131072,184832,53760,True,10,4,8,10x10,51200,25600,13,4
YOLOv10s,61,8,model.22.m.0.cv1.4.conv,DW,3x3,1,20x20,256,256,2304,199168,196864,True,10,4,8,12x12,36864,25600,20,1
YOLOv10s,62,8,model.22.cv2.conv,1x1,1x1,1,20x20,512,768,393216,133632,-259584,False,10,4,8,10x10,76800,51200,1,400
YOLOv10s,63,8,model.23.one2one_cv2.0.0.conv,Conv,3x3,1,80x80,64,128,73728,244736,171008,True,8,100,135,10x10,12800,4096,29,9
YOLOv10s,64,8,model.23.one2one_cv2.0.1.conv,Conv,3x3,1,80x80,64,64,36864,251136,214272,True,8,100,135,10x10,6400,4096,40,4
YOLOv10s,65,8,model.23.one2one_cv2.0.2,1x1,1x1,1,80x80,64,64,4096,253440,249344,True,8,100,135,8x8,4096,4096,44,4
YOLOv10s,66,9,model.23.one2one_cv2.1.0.conv,Conv,3x3,1,40x40,64,256,147456,242944,95488,True,6,49,52,8x8,16384,2304,17,9
